config,dataset,openml_id,fold,n,d,classes,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,log_loss,time,error
dim3_vcuda,dresses-sales,23381,0,500,12,2,0.55,0.5431034482758621,0.4666666666666667,0.5,0.4827586206896552,0.0855249937498031,0.6362889983579638,0.5702993592148421,0.681410838727444,21.563371419906616,
dim3_vcuda,dresses-sales,23381,1,500,12,2,0.57,0.5406403940886699,0.4838709677419355,0.3571428571428571,0.410958904109589,0.0867403471613551,0.4971264367816091,0.5111283530949323,0.6912200262335696,16.962570667266846,
dim3_vcuda,qsar-biodeg,1494,0,1055,41,2,0.8578199052132701,0.8519184652278178,0.7692307692307693,0.8333333333333334,0.8,0.6913095829485713,0.9187649880095924,0.8640026526016096,0.5648877371809625,51.18830442428589,
dim3_vcuda,dresses-sales,23381,2,500,12,2,0.58,0.5,0.0,0.0,0.0,0.0,0.5184729064039408,0.4952624436565734,0.6904184799300306,17.557238578796387,
dim3_vcuda,dresses-sales,23381,3,500,12,2,0.62,0.5804597701149425,0.5833333333333334,0.3333333333333333,0.4242424242424242,0.185966624425681,0.6506568144499179,0.5585420603184613,0.6875257553027899,16.95211887359619,
dim3_vcuda,dresses-sales,23381,4,500,12,2,0.67,0.6268472906403941,0.7142857142857143,0.3571428571428571,0.4761904761904761,0.3074161222694406,0.6646141215106732,0.6057575789095067,0.6785849790312511,17.234851360321045,
dim3_vcuda,qsar-biodeg,1494,1,1055,41,2,0.8815165876777251,0.8760060362173039,0.8026315789473685,0.8591549295774648,0.8299319727891157,0.7401918934489575,0.9251509054325956,0.8522011968934137,0.5621247391678443,47.56186556816101,
dim3_vcuda,kc2,1063,0,522,21,2,0.7714285714285715,0.6382803943044907,0.45,0.4090909090909091,0.4285714285714285,0.2866266255925125,0.7672508214676889,0.4753440817246381,0.6177197680908735,17.60438847541809,
dim3_vcuda,kc2,1063,1,522,21,2,0.819047619047619,0.6684008762322016,0.6,0.4090909090909091,0.4864864864864865,0.3917038542777002,0.8830777656078861,0.6924948306892729,0.6130521497792255,17.714008331298828,
dim3_vcuda,kc2,1063,2,522,21,2,0.8365384615384616,0.6485943775100401,0.7,0.3333333333333333,0.4516129032258064,0.404685030006134,0.8370625358577166,0.5953522948963679,0.6015706589931599,18.08650517463684,
dim3_vcuda,qsar-biodeg,1494,2,1055,41,2,0.8720379146919431,0.8515090543259557,0.8235294117647058,0.7887323943661971,0.8057553956834532,0.7107833222775026,0.9414486921529176,0.8539929998982532,0.5873384932784692,47.061339139938354,
dim3_vcuda,kc2,1063,3,522,21,2,0.875,0.7438324727481354,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.5735680608040065,0.91508892713712,0.7832828616589651,0.6294473969307304,18.047321557998657,
dim3_vcuda,kc2,1063,4,522,21,2,0.8365384615384616,0.6841652323580034,0.6428571428571429,0.4285714285714285,0.5142857142857142,0.4332125823954966,0.7948938611589214,0.553272637958254,0.6018896837249287,17.924451112747192,
dim3_vcuda,qsar-biodeg,1494,3,1055,41,2,0.8862559241706162,0.8691649899396379,0.8405797101449275,0.8169014084507042,0.8285714285714286,0.7436609514899745,0.9197183098591548,0.8636115382573372,0.4205635396270966,48.60649061203003,
dim3_vcuda,cylinder-bands,6332,0,540,37,2,0.7314814814814815,0.6988078541374474,0.7037037037037037,0.9193548387096774,0.7972027972027972,0.4540606875676311,0.8032959326788219,0.8476627421437865,0.6335351830737765,29.357181787490845,
dim3_vcuda,cylinder-bands,6332,1,540,37,2,0.7314814814814815,0.7212482468443198,0.7538461538461538,0.7903225806451613,0.7716535433070866,0.4469857605536987,0.8166199158485273,0.828052693297633,0.6324390523691562,29.15215754508972,
dim3_vcuda,qsar-biodeg,1494,4,1055,41,2,0.8862559241706162,0.8552816901408451,0.8852459016393442,0.7605633802816901,0.8181818181818182,0.7406030001407232,0.9361167002012072,0.8909468541446482,0.5437221494276876,48.36073279380798,
dim3_vcuda,cylinder-bands,6332,2,540,37,2,0.8055555555555556,0.7857643758765778,0.7808219178082192,0.9193548387096774,0.8444444444444444,0.6038337614693895,0.8730715287517531,0.8802922939657765,0.6153300074191057,28.828660488128666,
