config,dataset,openml_id,fold,n,d,classes,accuracy,time
cum0_base,GesturePhaseSegmentationProcessed,4538,0,9873,32,5,0.5620253164556962,825.6404631137848
cum0_base,GesturePhaseSegmentationProcessed,4538.0,0.0,9873.0,32.0,5.0,0.5620253164556962,825.6404631137848
cum0_base,GesturePhaseSegmentationProcessed,4538,1,9873,32,5,0.5762025316455697,801.3798100948334
cum0_base,GesturePhaseSegmentationProcessed,4538.0,1.0,9873.0,32.0,5.0,0.5762025316455697,801.3798100948334
cum0_base,GesturePhaseSegmentationProcessed,4538,2,9873,32,5,0.5767088607594937,805.0692400932312
cum0_base,GesturePhaseSegmentationProcessed,4538.0,2.0,9873.0,32.0,5.0,0.5767088607594937,805.0692400932312
cum0_base,GesturePhaseSegmentationProcessed,4538,3,9873,32,5,0.5567375886524822,813.2647325992584
cum0_base,GesturePhaseSegmentationProcessed,4538.0,3.0,9873.0,32.0,5.0,0.5567375886524822,813.2647325992584
cum0_base,GesturePhaseSegmentationProcessed,4538,4,9873,32,5,0.5663627152988855,810.5866858959198
cum0_base,GesturePhaseSegmentationProcessed,4538.0,4.0,9873.0,32.0,5.0,0.5663627152988855,810.5866858959198
cum0_base,MiceProtein,40966,0,1080,77,8,0.9953703703703703,117.6202232837677
cum0_base,MiceProtein,40966.0,0.0,1080.0,77.0,8.0,0.9953703703703703,117.6202232837677
cum0_base,MiceProtein,40966,1,1080,77,8,0.9907407407407408,125.7389838695526
cum0_base,MiceProtein,40966.0,1.0,1080.0,77.0,8.0,0.9907407407407408,125.7389838695526
cum0_base,MiceProtein,40966,2,1080,77,8,1.0,134.83838415145874
cum0_base,MiceProtein,40966.0,2.0,1080.0,77.0,8.0,1.0,134.83838415145874
cum0_base,MiceProtein,40966,3,1080,77,8,1.0,115.69918084144592
cum0_base,MiceProtein,40966.0,3.0,1080.0,77.0,8.0,1.0,115.69918084144592
cum0_base,MiceProtein,40966,4,1080,77,8,0.9861111111111112,128.68518233299255
cum0_base,MiceProtein,40966.0,4.0,1080.0,77.0,8.0,0.9861111111111112,128.68518233299255
cum0_base,PhishingWebsites,4534,0,11055,30,2,0.968340117593849,901.6123876571656
cum0_base,PhishingWebsites,4534.0,0.0,11055.0,30.0,2.0,0.968340117593849,901.6123876571656
cum0_base,PhishingWebsites,4534,1,11055,30,2,0.9656264133876076,909.20428109169
cum0_base,PhishingWebsites,4534.0,1.0,11055.0,30.0,2.0,0.9656264133876076,909.20428109169
cum0_base,PhishingWebsites,4534,2,11055,30,2,0.9687924016282226,908.4415538311004
cum0_base,PhishingWebsites,4534.0,2.0,11055.0,30.0,2.0,0.9687924016282226,908.4415538311004
cum0_base,PhishingWebsites,4534,3,11055,30,2,0.968340117593849,975.9416778087616
cum0_base,PhishingWebsites,4534.0,3.0,11055.0,30.0,2.0,0.968340117593849,975.9416778087616
cum0_base,PhishingWebsites,4534,4,11055,30,2,0.9669832654907282,849.2086863517761
cum0_base,PhishingWebsites,4534.0,4.0,11055.0,30.0,2.0,0.9669832654907282,849.2086863517761
cum0_base,analcatdata_authorship,458,0,841,70,4,1.0,103.92319679260254
cum0_base,analcatdata_authorship,458.0,0.0,841.0,70.0,4.0,1.0,103.92319679260254
cum0_base,analcatdata_authorship,458,1,841,70,4,0.988095238095238,93.75874042510986
cum0_base,analcatdata_authorship,458.0,1.0,841.0,70.0,4.0,0.988095238095238,93.75874042510986
cum0_base,analcatdata_authorship,458,2,841,70,4,0.9940476190476192,98.9060480594635
cum0_base,analcatdata_authorship,458.0,2.0,841.0,70.0,4.0,0.9940476190476192,98.9060480594635
cum0_base,analcatdata_authorship,458,3,841,70,4,1.0,92.71071577072144
cum0_base,analcatdata_authorship,458.0,3.0,841.0,70.0,4.0,1.0,92.71071577072144
cum0_base,analcatdata_authorship,458,4,841,70,4,1.0,103.4899594783783
cum0_base,analcatdata_authorship,458.0,4.0,841.0,70.0,4.0,1.0,103.4899594783783
cum0_base,analcatdata_dmft,469,0,797,4,6,0.2,62.30296611785889
cum0_base,analcatdata_dmft,469.0,0.0,797.0,4.0,6.0,0.2,62.30296611785889
cum0_base,analcatdata_dmft,469,1,797,4,6,0.2375,61.520529985427856
cum0_base,analcatdata_dmft,469.0,1.0,797.0,4.0,6.0,0.2375,61.520529985427856
cum0_base,analcatdata_dmft,469,2,797,4,6,0.2138364779874214,62.17075061798096
cum0_base,analcatdata_dmft,469.0,2.0,797.0,4.0,6.0,0.2138364779874214,62.17075061798096
cum0_base,analcatdata_dmft,469,3,797,4,6,0.220125786163522,61.601295471191406
cum0_base,analcatdata_dmft,469.0,3.0,797.0,4.0,6.0,0.220125786163522,61.601295471191406
cum0_base,analcatdata_dmft,469,4,797,4,6,0.1761006289308176,61.920040130615234
cum0_base,analcatdata_dmft,469.0,4.0,797.0,4.0,6.0,0.1761006289308176,61.920040130615234
cum0_base,balance-scale,11,0,625,4,3,0.976,20.875290632247925
cum0_base,balance-scale,11.0,0.0,625.0,4.0,3.0,0.976,20.875290632247925
cum0_base,balance-scale,11,1,625,4,3,0.984,20.77371072769165
cum0_base,balance-scale,11.0,1.0,625.0,4.0,3.0,0.984,20.77371072769165
cum0_base,balance-scale,11,2,625,4,3,0.96,20.50268602371216
cum0_base,balance-scale,11.0,2.0,625.0,4.0,3.0,0.96,20.50268602371216
cum0_base,balance-scale,11,3,625,4,3,0.952,20.62176513671875
cum0_base,balance-scale,11.0,3.0,625.0,4.0,3.0,0.952,20.62176513671875
cum0_base,balance-scale,11,4,625,4,3,0.984,21.223344087600708
cum0_base,balance-scale,11.0,4.0,625.0,4.0,3.0,0.984,21.223344087600708
cum0_base,banknote-authentication,1462,0,1372,4,2,1.0,123.96293568611144
cum0_base,banknote-authentication,1462.0,0.0,1372.0,4.0,2.0,1.0,123.96293568611144
cum0_base,banknote-authentication,1462,1,1372,4,2,1.0,114.09684538841248
cum0_base,banknote-authentication,1462.0,1.0,1372.0,4.0,2.0,1.0,114.09684538841248
cum0_base,banknote-authentication,1462,2,1372,4,2,1.0,104.67102217674255
cum0_base,banknote-authentication,1462.0,2.0,1372.0,4.0,2.0,1.0,104.67102217674255
cum0_base,banknote-authentication,1462,3,1372,4,2,1.0,102.67535591125488
cum0_base,banknote-authentication,1462.0,3.0,1372.0,4.0,2.0,1.0,102.67535591125488
cum0_base,banknote-authentication,1462,4,1372,4,2,1.0,98.24078583717346
cum0_base,banknote-authentication,1462.0,4.0,1372.0,4.0,2.0,1.0,98.24078583717346
cum0_base,blood-transfusion-service-center,1464,0,748,4,2,0.7866666666666666,55.18691277503967
cum0_base,blood-transfusion-service-center,1464.0,0.0,748.0,4.0,2.0,0.7866666666666666,55.18691277503967
